Brand,Model,Year,Category,Displacement (ccm),Power (hp),Torque (Nm),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder
Yamaha,NEO´s,2024,Scooter,Unknown,3.0,136.0,Unknown,90,795.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2023,Naked,890.0,119.0,93.0,14,189,825.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ125,2025,Cross / Enduro,125.0,96.0,Unknown,7,96,980.0,Unknown,Unknown,Unknown,Unknown,Unknown
Yamaha,MT,2025,Naked,125.0,15.0,11.5,10,142,810.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XSR125,2024,Naked,124.0,15.0,11.5,11,160,810.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Kodiak 450 EPS SE,2025,Street,421.0,Unknown,Unknown,14,35,855.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2024,Naked,321.0,42.0,29.6,14,168,780.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Niken GT,2023,Touring / Trail,890.0,115.0,90.7,18,270,Unknown,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2023,Naked,125.0,15.0,11.5,10,140,810.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Ténéré 700 Explore,2024,Street,689.0,73.0,67.0,16,211,860.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,WR250F,2023,Cross / Enduro,250.0,115.0,Unknown,7.9,115,955.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 7,2025,Touring / Trail,689.0,72.0,68.0,18,203,830.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ450F,2025,Cross / Enduro,449.0,109.0,Unknown,6.2,109,965.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2024,Naked,890.0,119.0,93.0,14,194,825.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZF,2024,Cross / Enduro,998.0,200.0,113.3,17,202,860.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ250,2024,Cross / Enduro,249.0,103.0,Unknown,7,103,975.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2023,Naked,689.0,73.0,Unknown,14,184,805.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,R1 GYTR,2025,Sport,998.0,200.0,Unknown,17,201,855.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,TT,2023,Street,124.0,90.0,Unknown,6,90,805.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2025,Naked,890.0,119.0,93.0,14,196,825.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ250F Monster Energy Racing Edition,2025,Cross / Enduro,250.0,105.0,Unknown,6.2,105,970.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tricity 125 ABS,2025,Scooter,125.0,12.0,11.2,7.2,173,785.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Wolverine X4 850 SE,2025,Street,847.0,823.0,Unknown,35,823,793.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ125,2024,Cross / Enduro,124.9,95.0,Unknown,7,95,975.0,Unknown,Unknown,Unknown,Unknown,Unknown
Yamaha,R7,2025,Sport,689.0,73.0,67.0,Unknown,188,Unknown,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XMAX 125,2023,Scooter,124.66,12.0,11.0,13.2,167,800.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ450F 2024 50th Anniversary,2024,Cross / Enduro,449.0,109.0,Unknown,6.2,109,965.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XSR700,2024,Naked,689.0,75.0,68.0,14,186,815.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 9 Y,2025,Touring / Trail,889.0,119.0,93.0,19,224,845.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ250 Monster Energy Racing Edition,2025,Cross / Enduro,249.0,103.0,Unknown,7,103,975.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ250F,2024,Cross / Enduro,250.0,105.0,Unknown,6.2,105,970.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZF,2024,Cross / Enduro,321.0,42.0,29.6,14,169,780.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ450F,2024,Cross / Enduro,449.0,109.0,Unknown,6.2,109,965.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,NMAX 125,2025,Scooter,125.0,12.0,11.2,7.1,132,770.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ250F 2024 50th Anniversary,2024,Cross / Enduro,250.0,105.0,Unknown,6.2,105,970.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 9,2024,Touring / Trail,889.0,119.0,93.0,18,213,810.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Ténéré 700 World Rally,2023,Street,689.0,73.0,68.0,23,219,890.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tricity 125,2024,Scooter,125.0,12.0,11.2,7.2,168,785.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,TT,2023,Street,110.0,7.0,8.0,3.8,72,670.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2025,Naked,689.0,73.0,67.0,14,183,805.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XMAX 125 Tech MAX,2023,Scooter,124.66,12.0,11.0,13.2,167,800.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZF,2024,Cross / Enduro,599.0,118.0,60.0,17,190,850.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ65,2023,Cross / Enduro,65.0,61.0,Unknown,3.5,61,755.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XMAX 125,2025,Scooter,125.0,12.0,11.0,13.2,167,800.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XSR125 Legacy,2023,Naked,124.0,15.0,11.5,11,160,810.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 9 GT+ Y,2025,Touring / Trail,889.0,119.0,93.0,19,232,845.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XMAX 300,2025,Scooter,292.0,28.01,27.6,13.2,183,795.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,RayZR,2024,Cross / Enduro,125.0,8.0,9.0,5.2,99,785.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XSR900,2025,Naked,890.0,119.0,298.0,14,193,810.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2025,Naked,689.0,73.0,67.0,14,186,805.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ85,2025,Cross / Enduro,85.0,75.0,Unknown,5,75,885.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ250 2024 50th Anniversary,2024,Cross / Enduro,249.0,103.0,Unknown,7,103,975.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XSR900 GP,2024,Naked,889.0,119.0,7.0,14,200,835.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,PW50,2023,Cross / Enduro,49.0,39.0,Unknown,2,39,485.0,Unknown,Unknown,Unknown,Unknown,Unknown
Yamaha,Ténéré 700 Extreme,2024,Street,689.0,73.0,67.0,16,205,910.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ125,2023,Cross / Enduro,124.9,95.0,Unknown,7,95,975.0,Unknown,Unknown,Unknown,Unknown,Unknown
Yamaha,YZ250,2025,Cross / Enduro,249.0,103.0,Unknown,7,103,975.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ250F,2023,Cross / Enduro,250.0,106.0,Unknown,6.2,106,970.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,D´elight,2024,Street,125.0,8.0,9.8,5.5,101,800.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,R1 Race,2025,Sport,998.0,200.0,Unknown,17,201,855.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ85,2023,Cross / Enduro,84.0,75.0,Unknown,5,75,870.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XSR125 Legacy,2025,Naked,124.0,15.0,11.5,10,140,810.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZF,2023,Cross / Enduro,124.7,15.0,11.5,11,144,820.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZF,2024,Cross / Enduro,998.0,200.0,113.3,17,201,855.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,R125,2025,Sport,124.7,15.0,11.5,11,144,820.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ450F Monster Energy Racing Edition,2025,Cross / Enduro,449.0,109.0,Unknown,6.2,109,965.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XMAX 300 Tech MAX,2025,Scooter,292.0,28.0,29.0,13.2,183,795.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,WR450F,2023,Cross / Enduro,449.0,119.0,Unknown,Unknown,119,955.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2024,Naked,998.0,166.0,9.0,17,214,835.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ250F,2025,Cross / Enduro,250.0,105.0,Unknown,6.2,105,970.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XSR900,2024,Naked,889.0,119.0,298.0,15,193,815.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Ténéré 700,2025,Street,689.0,73.0,68.0,16,208,875.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Kodiak 700 EPS SE,2025,Street,686.0,Unknown,Unknown,18,70,860.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XMAX 300,2023,Scooter,292.0,29.0,29.0,13.2,183,795.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZF,2023,Cross / Enduro,998.0,200.0,113.3,17,55,855.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 9 GT Y,2025,Touring / Trail,889.0,119.0,93.0,19,231,845.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Wolverine X2 850 SE,2025,Street,847.0,719.5,Unknown,35,719,803.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 7,2023,Touring / Trail,689.0,73.0,67.0,17,196,835.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XSR125,2025,Naked,124.0,15.0,11.5,10,140,810.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 9 GT+,2023,Touring / Trail,889.0,119.0,93.0,18.7,223,820.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Ténéré 700 World Raid,2025,Street,689.0,73.0,68.0,23,220,890.0,Unknown,Chain,Unknown,Unknown,Unknown
